id;code_etablissement;bic
721;23890;BCMAFRPPXXX
722;23930;SOCIFRP1XXX
723;23970;UZESFRCPXXX
724;24280;ODCFFRP1XXX
725;24349;BJSBMCMXXXX
726;24599;BARCFRPPXXX
727;24659;BCIBFRP1XXX
728;25080;AXFIFR21XXX
729;25609;SETMFRP1XXX
730;25709;CGINFRP1XXX
731;25790;PARRFRP1XXX
732;26269;SSGEFRP1XXX
733;26310;SYGMFRP1XXX
734;26679;SIAAFRP1XXX
735;26819;CMGIFRP1XXX
736;27180;NOIMFRP1XXX
737;27589;OUDAFRP1XXX
738;27800;KREDFRPP
739;27910;REUNFR21XXX
740;28310;GEEEFR21XXX
741;28570;CMDIFR21XXX
742;28860;FONAFRP1
743;30001;BDFEFRPP
744;30002;CRLYFRPPXXX
745;30003;SOGEFRPP
746;30004;BNPAFRPPXXX
747;30006;AGRIFRPP
748;30007;NATXFRPP
749;30027;CMCIFRP1BSD
750;30047;CMCIFRP1CIO
751;30051;CFFOFRPPXXX
752;30056;CCFRFRPP
753;30066;CMCIFRPPXXX
754;30076;NORDFRPP
755;30077;SMCTFR2AXXX
756;30087;CMCIFRP1SNV
757;30258;BATIFRP1XXX
758;30438;INGBFRPPXXX
759;30478;MONTFRPPXXX
760;30488;BNPAFRPPXXX
761;30568;CMCIFRP1BTR
762;30588;BARCFRPPXXX
763;30628;CHASFRPPXXX
764;30748;LAZPFRPPXXX
765;30758;UBSWFRPPXXX
766;30788;NSMBFRPPXXX
767;30958;BPLGFR21XXX
768;31489;BSUIFRPP
769;40031;CDCGFRPPXXX
770;40168;BDEBFR2RXXX
771;40198;BPPBFRP1XXX
772;40238;EUROFRPPXXX
773;40398;BICFFRPPXXX
774;40618;BOUSFRPP
775;40978;BSPFFRPPXXX
776;41139;BRASFRPPXXX
777;41189;BBVAFRPPXXX
778;41199;CMCIFRP1IBB
779;41219;BOFAFRPPXXX
780;41239;PKOPFRPPXXX
781;41249;BOTKFRPXXXX
782;41329;PARBFRPPXXX
783;41439;BCDMFRPPXXX
784;41539;AGRIFRP1ACF
785;41599;FRABFRP1XXX
786;41639;NBOKFRPPXXX
787;41829;LICOFRPPXXX
788;41839;BDAFGPGXXXX
789;41919;BNPARERXXXX
790;42529;COFIFRPPXXX
791;42559;CCOPFRPPXXX
792;42649;TRAVFRP1XXX
793;42799;MOEYFRPPXXX
794;42959;ELBAFRPPXXX
795;43030;ALTRFRP1XXX
796;43199;CFFRFRPPXXX
797;43629;SCBNFR21XXX
798;43659;BESVFRPPXXX
799;43789;SIFBFRP1XXX
800;43799;SIBLFRPP
801;43849;UTUBFRPPXXX
802;43899;UBAFFRPPXXX
803;44149;ESCBFRPPXXX
804;44319;PREUFRP1XXX
805;44449;LIXXFR21
806;44729;BSCHFRPPXXX
807;45030;UBSWFR31
808;45129;AFDXFRP1XXX
809;45159;IDDOFRP1XXX
810;45189;INDDFRP1XXX
811;45190;DBZEFRPPCRI
812;45280;SEPAFRP1XXX
813;45288;PAREFRPP
814;45340;AULSFRP1XXX
815;45360;CHVIFRPP
816;45418;BNABFRPPXXX
817;45539;CMUTFR21CCM
818;45598;EXANFRPPXXX
819;45600;IXIRFRPPXXX
820;45718;DESRFRP1XXX
821;45850;ODDOFRPPXXX
822;50140;CMPCFRP1XXX
823;60011;FDEOFRP1XXX
824;60080;SADDFR21XXX
825;60220;CADCFR21XXX
826;62108;ESDRFR21XXX
